scope,code,category,message_type,level,spec_page,center_command
IC,5F02,車道調撥控制參數管理,主動回報,A,5-21,False
IC,5F13,時相資料管理,設定,B,5-22,True
IC,5F43,時相資料管理,查詢,B,5-24,True
IC,5FC3,時相資料管理,查詢回報,B,5-25,False
IC,5F03,時相資料管理,主動回報,B,5-26,False
IC,5F14,時制計畫基本參數管理,設定,B,5-27,True
IC,5F44,時制計畫基本參數管理,查詢,B,5-29,True
IC,5FC4,時制計畫基本參數管理,查詢回報,B,5-30,False
IC,5F15,時制計畫資料庫管理,設定,B,5-31,True
IC,5F45,時制計畫資料庫管理,查詢,B,5-32,True
IC,5FC5,時制計畫資料庫管理,查詢回報,B,5-33,False
IC,5F16,一般日時段型態管理,設定,B,5-34,True
IC,5F46,一般日時段型態管理,查詢,B,5-36,True
IC,5FC6,一般日時段型態管理,查詢回報,B,5-37,False
IC,5F17,特殊日期段時段型態管理,設定,B,5-38,True
IC,5F47,特殊日期段時段型態管理,查詢,B,5-40,True
IC,5FC7,特殊日期段時段型態管理,查詢回報,B,5-41,False
IC,5F18,設定執行時制計畫,設定,B,5-42,True
IC,5F48,目前時制計畫管理,查詢,B,5-43,True
IC,5FC8,目前時制計畫管理,查詢回報,B,5-44,False
IC,5F19,觸動控制組態管理,設定,O,5-45,True
IC,5F49,觸動控制組態管理,查詢,O,5-47,True
IC,5FC9,觸動控制組態管理,查詢回報,O,5-48,False
IC,5F09,觸動控制進行回報,主動回報,O,5-49,False
IC,5F1A,一般日觸動排程管理,設定,O,5-50,True
IC,5F4A,一般日觸動排程管理,查詢,O,5-52,True
IC,5FCA,一般日觸動排程管理,查詢回報,O,5-53,False
IC,5F1B,特殊日觸動排程管理,設定,O,5-54,True
IC,5F4B,特殊日觸動排程管理,查詢,O,5-56,True
IC,5FCB,特殊日觸動排程管理,查詢回報,O,5-57,False
IC,5F1C,時相步階變換控制管理,設定,O,5-58,True
IC,5F4C,時相步階變換控制管理,查詢,O,5-60,True
IC,5FCC,時相步階變換控制管理,查詢回報,O,5-61,False
IC,5F0C,時相步階變換控制管理,主動回報,O,5-62,False
IC,5F1D,臨界路口控制,設定,A,5-63,True
IC,5F1E,特勤路線控制（VIP）參數管理,設定,O,5-64,True
IC,5F4E,特勤路線控制（VIP）參數管理,查詢,O,5-66,True
IC,5FCE,特勤路線控制（VIP）參數管理,查詢回報,O,5-67,False
IC,5F2F,時相步階排列管理,設定,O,5-68,True
IC,5F5F,時相步階排列管理,查詢,O,5-70,True
IC,5FDF,時相步階排列管理,查詢回報,O,5-71,False
IC,5F31,母機連鎖輸出組態管理,設定,O,5-72,True
IC,5F61,母機連鎖輸出組態管理,查詢,O,5-74,True
IC,5FE1,母機連鎖輸出組態管理,查詢回報,O,5-75,False
IC,5F32,子機連鎖組態管理,設定,O,5-76,True
IC,5F62,子機連鎖組態管理,查詢,O,5-77,True
IC,5FE2,子機連鎖組態管理,查詢回報,O,5-78,False
IC,5F33,子機控制組態管理,設定,O,5-79,True
IC,5F63,子機控制組態管理,查詢,O,5-80,True
IC,5FE3,子機控制組態管理,查詢回報,O,5-81,False
IC,5F08,現場操作回報,主動回報,B,5-82,False
IC,5F0A,設備資料更動回報,主動回報,B,5-83,False
IC,5F0B,要求資料庫資料重傳,主動回報,B,5-84,False
IC,5F3F,燈態步階傳輸週期管理,設定,B,5-85,True
IC,5F6F,燈態步階傳輸週期管理,查詢,B,5-86,True
IC,5FEF,燈態步階傳輸週期管理,查詢回報,B,5-87,False
IC,5F0F,燈態步階傳輸週期管理,主動回報,B,5-88,False
IC,5F3E,設備減光控制管理,設定,O,5-90,True
IC,5F6E,設備減光控制管理,查詢,O,5-92,True
IC,5FEE,設備減光控制管理,查詢回報,O,5-93,False
IC,5F0E,設備減光控制管理,主動回報,O,5-94,False
